Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
88,Rafael Marques,Sport Recife,35,5,450,1,1,-,-,2.2,80,4,-,7.00
89,Thiago Heleno,Atletico PR,29,7,630,1,-,1,-,1,89.3,3.3,1,7.00
90,Matheus Rossetto,Atletico PR,22,7(1),682,1,-,1,-,0.4,90.6,0.8,-,7.00
91,Henrique,Cruzeiro,33,6,540,-,-,2,-,1.7,88.6,2.7,-,6.99
92,Bruno Henrique,Palmeiras,28,9,791,1,1,3,-,1.2,88.7,0.6,-,6.99
93,Bruno Alves,Sao Paulo,27,7,586,1,-,3,-,0.3,84.1,3,-,6.99
94,Cleber Reis,Parana Clube,27,5,450,-,-,1,-,0.8,83.9,2.6,-,6.99
95,Fabio,Cruzeiro,37,9,810,-,-,-,-,-,60.5,0.2,-,6.97
96,Messias,America MG,23,9,810,-,-,-,-,0.3,78.3,2.8,-,6.97
97,Dodo,Santos FC,26,9,810,-,-,2,-,0.6,85.3,0.7,-,6.97
98,Aderlan,America MG,27,4(1),341,-,1,2,-,0.2,77,2,-,6.97
99,Gilson,Botafogo RJ,32,6,529,1,-,1,-,0.5,83.1,0.5,1,6.97
100,Jadson,Corinthians,34,5(1),430,1,1,-,-,0.8,82.4,-,-,6.96
91,Henrique,Cruzeiro,33,6,540,-,-,2,-,1.7,88.6,2.7,-,6.99
92,Bruno Henrique,Palmeiras,28,9,791,1,1,3,-,1.2,88.7,0.6,-,6.99
93,Bruno Alves,Sao Paulo,27,7,586,1,-,3,-,0.3,84.1,3,-,6.99
94,Cleber Reis,Parana Clube,27,5,450,-,-,1,-,0.8,83.9,2.6,-,6.99
95,Fabio,Cruzeiro,37,9,810,-,-,-,-,-,60.5,0.2,-,6.97
96,Messias,America MG,23,9,810,-,-,-,-,0.3,78.3,2.8,-,6.97
97,Dodo,Santos FC,26,9,810,-,-,2,-,0.6,85.3,0.7,-,6.97
98,Aderlan,America MG,27,4(1),341,-,1,2,-,0.2,77,2,-,6.97
99,Gilson,Botafogo RJ,32,6,529,1,-,1,-,0.5,83.1,0.5,1,6.97
100,Jadson,Corinthians,34,5(1),430,1,1,-,-,0.8,82.4,-,-,6.96
101,Petros,Sao Paulo,29,4(1),405,-,-,-,-,-,86.8,1,1,6.96
102,Gum,Fluminense,32,7,584,-,1,-,-,0.6,84,3.3,1,6.95
103,Edenilson,Internacional,28,8,677,-,2,2,-,0.5,83.3,0.6,-,6.94
104,Diogo Barbosa,Palmeiras,25,8,684,-,2,3,-,-,83.9,1.4,1,6.94
105,Juninho,Ceara,32,7,607,-,-,-,-,1.6,86.7,1.1,-,6.93
106,Gregore,Bahia,24,8,705,-,-,3,-,0.6,90,1.9,-,6.93
107,Bremer,Atletico MG,21,8,715,1,-,2,-,0.6,81.2,2.5,-,6.93
108,Alison,Santos FC,25,5,412,-,-,1,-,0.2,88,1.4,-,6.92
109,Gabriel,Corinthians,25,8,715,1,-,3,-,1.3,91.7,1.3,-,6.91
110,Marcinho,Botafogo RJ,22,10,900,-,3,2,-,0.5,79.4,1,-,6.91
101,Petros,Sao Paulo,29,4(1),405,-,-,-,-,-,86.8,1,1,6.96
102,Gum,Fluminense,32,7,584,-,1,-,-,0.6,84,3.3,1,6.95
103,Edenilson,Internacional,28,8,677,-,2,2,-,0.5,83.3,0.6,-,6.94
104,Diogo Barbosa,Palmeiras,25,8,684,-,2,3,-,-,83.9,1.4,1,6.94
105,Juninho,Ceara,32,7,607,-,-,-,-,1.6,86.7,1.1,-,6.93
106,Gregore,Bahia,24,8,705,-,-,3,-,0.6,90,1.9,-,6.93
107,Bremer,Atletico MG,21,8,715,1,-,2,-,0.6,81.2,2.5,-,6.93
108,Alison,Santos FC,25,5,412,-,-,1,-,0.2,88,1.4,-,6.92
109,Gabriel,Corinthians,25,8,715,1,-,3,-,1.3,91.7,1.3,-,6.91
110,Marcinho,Botafogo RJ,22,10,900,-,3,2,-,0.5,79.4,1,-,6.91
111,Lucas Fonseca,Bahia,32,8,720,-,-,2,-,0.4,86.5,3.3,-,6.91
112,Lucas Silva,Cruzeiro,25,7,550,-,-,1,-,1,89.3,1.4,-,6.90
113,Bruno Pacheco,Chapecoense AF,26,8,710,-,-,3,-,0.6,74.1,3.1,1,6.90
114,Raul Prata,Sport Recife,30,5(1),501,-,-,1,1,0.5,72,2.2,1,6.90
115,Magrao,Sport Recife,41,6,540,-,-,2,-,-,47.6,0.3,-,6.90
116,Keno,Palmeiras,28,9,756,1,1,-,-,1.2,64.9,0.7,-,6.89
117,Gabriel,Sport Recife,28,8(1),662,1,1,1,-,0.9,84.1,1,-,6.89
118,Giovanni Palmieri,America MG,28,4(1),414,2,-,2,-,0.8,78.9,1.6,-,6.89
119,Jonas,Flamengo,26,4(2),344,-,-,2,-,1,85.6,1.8,-,6.89
120,Arthur,Chapecoense AF,25,10,808,4,-,2,-,2.5,71.9,2,-,6.89
111,Lucas Fonseca,Bahia,32,8,720,-,-,2,-,0.4,86.5,3.3,-,6.91
112,Lucas Silva,Cruzeiro,25,7,550,-,-,1,-,1,89.3,1.4,-,6.90
113,Bruno Pacheco,Chapecoense AF,26,8,710,-,-,3,-,0.6,74.1,3.1,1,6.90
114,Raul Prata,Sport Recife,30,5(1),501,-,-,1,1,0.5,72,2.2,1,6.90
115,Magrao,Sport Recife,41,6,540,-,-,2,-,-,47.6,0.3,-,6.90
116,Keno,Palmeiras,28,9,756,1,1,-,-,1.2,64.9,0.7,-,6.89
117,Gabriel,Sport Recife,28,8(1),662,1,1,1,-,0.9,84.1,1,-,6.89
118,Giovanni Palmieri,America MG,28,4(1),414,2,-,2,-,0.8,78.9,1.6,-,6.89
119,Jonas,Flamengo,26,4(2),344,-,-,2,-,1,85.6,1.8,-,6.89
120,Arthur,Chapecoense AF,25,10,808,4,-,2,-,2.5,71.9,2,-,6.89
121,Claudio Winck,Sport Recife,24,5(1),360,1,-,1,-,1,73.9,1.8,1,6.89
122,Leonardo Valencia,Botafogo RJ,27,7(1),554,1,2,-,-,1.6,80.4,-,-,6.88
123,Junior Sornoza,Fluminense,24,9,810,-,1,2,-,2.3,83.3,0.6,-,6.88
124,Lucas Romero,Cruzeiro,24,6(1),544,-,-,-,-,0.1,90.6,0.7,-,6.88
125,Caio Henrique,Parana Clube,20,8(1),751,-,2,-,-,1.1,87.5,0.8,-,6.88
126,Marquinhos,America MG,28,3(2),256,1,1,-,-,1.2,71.2,0.4,-,6.88
127,Hector Canteros,Chapecoense AF,29,9(1),783,2,1,1,-,0.8,81,0.4,1,6.88
128,Gabriel,Santos FC,21,9,782,3,1,1,-,3.2,83.1,-,1,6.87
129,Leo,Cruzeiro,30,8,720,-,-,-,-,0.1,85.3,3,-,6.87
130,Everson,Ceara,27,10,900,-,-,1,-,-,65,1.1,1,6.86
121,Claudio Winck,Sport Recife,24,5(1),360,1,-,1,-,1,73.9,1.8,1,6.89
122,Leonardo Valencia,Botafogo RJ,27,7(1),554,1,2,-,-,1.6,80.4,-,-,6.88
123,Junior Sornoza,Fluminense,24,9,810,-,1,2,-,2.3,83.3,0.6,-,6.88
124,Lucas Romero,Cruzeiro,24,6(1),544,-,-,-,-,0.1,90.6,0.7,-,6.88
125,Caio Henrique,Parana Clube,20,8(1),751,-,2,-,-,1.1,87.5,0.8,-,6.88
126,Marquinhos,America MG,28,3(2),256,1,1,-,-,1.2,71.2,0.4,-,6.88
127,Hector Canteros,Chapecoense AF,29,9(1),783,2,1,1,-,0.8,81,0.4,1,6.88
128,Gabriel,Santos FC,21,9,782,3,1,1,-,3.2,83.1,-,1,6.87
129,Leo,Cruzeiro,30,8,720,-,-,-,-,0.1,85.3,3,-,6.87
130,Everson,Ceara,27,10,900,-,-,1,-,-,65,1.1,1,6.86
131,Henrique,Vasco da Gama,24,7,630,-,-,3,-,0.3,83.3,0.9,-,6.86
132,Rodrigo Lindoso,Botafogo RJ,29,10,871,2,1,2,-,1.3,87.3,1,-,6.86
133,Mateus Vital,Corinthians,20,7(3),617,1,1,-,-,1.1,87.5,0.2,-,6.85
134,Reinaldo,Sao Paulo,28,6,514,-,-,1,-,0.8,67.8,1,-,6.85
135,Matheus Ferraz,America MG,33,5,450,-,-,2,-,-,82.5,4.4,-,6.85
136,Leo Moura,Gremio,39,5,355,-,1,-,-,-,90.8,0.6,-,6.84
137,Henrique,Corinthians,31,10,900,1,-,-,-,0.3,94.4,1.6,-,6.84
138,Joel Carli,Botafogo RJ,31,9,788,-,-,4,-,0.6,78.8,3.2,-,6.84
139,Jailson,Palmeiras,36,9,810,-,-,1,-,-,49.4,0.2,-,6.83
140,Felipe Melo,Palmeiras,34,8,643,-,-,6,-,0.6,85.5,1.6,-,6.83
131,Henrique,Vasco da Gama,24,7,630,-,-,3,-,0.3,83.3,0.9,-,6.86
132,Rodrigo Lindoso,Botafogo RJ,29,10,871,2,1,2,-,1.3,87.3,1,-,6.86
133,Mateus Vital,Corinthians,20,7(3),617,1,1,-,-,1.1,87.5,0.2,-,6.85
134,Reinaldo,Sao Paulo,28,6,514,-,-,1,-,0.8,67.8,1,-,6.85
135,Matheus Ferraz,America MG,33,5,450,-,-,2,-,-,82.5,4.4,-,6.85
136,Leo Moura,Gremio,39,5,355,-,1,-,-,-,90.8,0.6,-,6.84
137,Henrique,Corinthians,31,10,900,1,-,-,-,0.3,94.4,1.6,-,6.84
138,Joel Carli,Botafogo RJ,31,9,788,-,-,4,-,0.6,78.8,3.2,-,6.84
139,Jailson,Palmeiras,36,9,810,-,-,1,-,-,49.4,0.2,-,6.83
140,Felipe Melo,Palmeiras,34,8,643,-,-,6,-,0.6,85.5,1.6,-,6.83
141,Lucas Verissimo,Santos FC,23,8,708,-,-,2,-,0.4,92.1,2,-,6.83
142,Renato Chaves,Fluminense,28,9,794,-,1,2,-,0.2,75.6,3,-,6.83
143,Fabio Santos,Atletico MG,32,9,810,1,-,3,-,0.4,88.3,2.1,-,6.82
144,Pedrinho,Corinthians,20,6(3),502,-,-,1,-,1.1,77.3,0.8,-,6.82
145,Bressan,Gremio,25,7(1),644,-,-,1,-,0.1,82.6,1.5,-,6.82
146,Aylon,America MG,26,7,588,-,1,1,-,2.3,75,2.9,-,6.82
147,Eduardo Sasha,Santos FC,26,9,765,-,3,-,-,1.1,80.5,2.7,-,6.81
148,Patric,Atletico MG,29,5,450,-,1,-,-,0.4,80.4,1.2,-,6.81
149,Nikao,Atletico PR,25,9,772,1,-,1,-,1.9,87.1,1.4,-,6.81
150,Ernando,Sport Recife,30,9,810,-,-,3,-,0.2,80.8,2.6,-,6.81
141,Lucas Verissimo,Santos FC,23,8,708,-,-,2,-,0.4,92.1,2,-,6.83
142,Renato Chaves,Fluminense,28,9,794,-,1,2,-,0.2,75.6,3,-,6.83
143,Fabio Santos,Atletico MG,32,9,810,1,-,3,-,0.4,88.3,2.1,-,6.82
144,Pedrinho,Corinthians,20,6(3),502,-,-,1,-,1.1,77.3,0.8,-,6.82
145,Bressan,Gremio,25,7(1),644,-,-,1,-,0.1,82.6,1.5,-,6.82
146,Aylon,America MG,26,7,588,-,1,1,-,2.3,75,2.9,-,6.82
147,Eduardo Sasha,Santos FC,26,9,765,-,3,-,-,1.1,80.5,2.7,-,6.81
148,Patric,Atletico MG,29,5,450,-,1,-,-,0.4,80.4,1.2,-,6.81
149,Nikao,Atletico PR,25,9,772,1,-,1,-,1.9,87.1,1.4,-,6.81
150,Ernando,Sport Recife,30,9,810,-,-,3,-,0.2,80.8,2.6,-,6.81
151,Werley,Vasco da Gama,29,6,540,-,-,-,-,0.8,83.8,2.3,-,6.80
152,Pedro Botelho,Vitoria,28,5,409,1,-,-,-,0.8,79.2,1.6,-,6.80
153,Luan Peres,Fluminense,23,5(1),451,-,-,1,-,-,81.6,1.8,1,6.79
154,Esteban Pavez,Atletico PR,28,6,444,-,-,-,-,0.2,95.4,0.7,-,6.79
155,Juninho,America MG,30,8(1),763,1,-,2,-,0.8,78,0.9,-,6.78
156,Julio Cesar,Fluminense,31,9,810,-,-,1,-,-,51.5,0.7,-,6.78
157,Renato,Santos FC,39,5,412,1,-,-,-,1,90.2,1.6,-,6.78
158,Diego Pituca,Santos FC,25,4(3),361,-,2,1,-,0.7,93.6,0.7,-,6.77
159,Elton,Ceara,32,4(1),377,1,1,1,-,1.6,77.5,3.2,-,6.76
160,Marcos Guilherme,Sao Paulo,22,4(2),406,1,1,-,-,1.5,83.6,0.5,-,6.76
151,Werley,Vasco da Gama,29,6,540,-,-,-,-,0.8,83.8,2.3,-,6.80
152,Pedro Botelho,Vitoria,28,5,409,1,-,-,-,0.8,79.2,1.6,-,6.80
153,Luan Peres,Fluminense,23,5(1),451,-,-,1,-,-,81.6,1.8,1,6.79
154,Esteban Pavez,Atletico PR,28,6,444,-,-,-,-,0.2,95.4,0.7,-,6.79
155,Juninho,America MG,30,8(1),763,1,-,2,-,0.8,78,0.9,-,6.78
156,Julio Cesar,Fluminense,31,9,810,-,-,1,-,-,51.5,0.7,-,6.78
157,Renato,Santos FC,39,5,412,1,-,-,-,1,90.2,1.6,-,6.78
158,Diego Pituca,Santos FC,25,4(3),361,-,2,1,-,0.7,93.6,0.7,-,6.77
159,Elton,Ceara,32,4(1),377,1,1,1,-,1.6,77.5,3.2,-,6.76
160,Marcos Guilherme,Sao Paulo,22,4(2),406,1,1,-,-,1.5,83.6,0.5,-,6.76
161,Brenner,Botafogo RJ,24,6,463,1,-,-,-,1.5,72.6,1.8,-,6.76
162,Robinho,Cruzeiro,30,8(1),683,-,-,3,-,0.8,80.7,0.1,-,6.75
163,Kieza,Botafogo RJ,31,5(5),545,3,-,-,-,1.1,71.5,2.9,1,6.75
164,Silvinho,Parana Clube,27,8,668,1,-,1,-,2.9,78.9,0.5,-,6.75
165,Ramon,Vitoria,23,5(3),528,1,-,2,-,0.6,85.8,3.1,-,6.75
166,Danilo Fernandes,Internacional,30,9,810,-,-,1,-,-,63.3,0.6,-,6.74
167,Jadson,Fluminense,24,9,758,-,1,2,-,1,86,0.3,1,6.74
168,Leo,Bahia,22,7,630,-,-,-,-,0.6,84.5,0.9,-,6.74
169,Carlos,Parana Clube,22,8,636,1,-,1,-,1.6,76.9,1.3,-,6.73
170,Richardson,Ceara,26,8,676,-,-,2,-,0.5,87.8,1.3,-,6.73
161,Brenner,Botafogo RJ,24,6,463,1,-,-,-,1.5,72.6,1.8,-,6.76
162,Robinho,Cruzeiro,30,8(1),683,-,-,3,-,0.8,80.7,0.1,-,6.75
163,Kieza,Botafogo RJ,31,5(5),545,3,-,-,-,1.1,71.5,2.9,1,6.75
164,Silvinho,Parana Clube,27,8,668,1,-,1,-,2.9,78.9,0.5,-,6.75
165,Ramon,Vitoria,23,5(3),528,1,-,2,-,0.6,85.8,3.1,-,6.75
166,Danilo Fernandes,Internacional,30,9,810,-,-,1,-,-,63.3,0.6,-,6.74
167,Jadson,Fluminense,24,9,758,-,1,2,-,1,86,0.3,1,6.74
168,Leo,Bahia,22,7,630,-,-,-,-,0.6,84.5,0.9,-,6.74
169,Carlos,Parana Clube,22,8,636,1,-,1,-,1.6,76.9,1.3,-,6.73
170,Richardson,Ceara,26,8,676,-,-,2,-,0.5,87.8,1.3,-,6.73
171,Jorge Gonzalez,Parana Clube,30,6,455,-,-,3,-,0.8,82.7,1.5,-,6.72
172,Romario Santos,Ceara,26,6(1),510,-,-,1,-,0.1,80.3,1.9,-,6.72
173,Luan,Atletico MG,27,9,635,-,1,2,-,1.2,86.1,0.8,-,6.72
174,Jefferson,Botafogo RJ,35,8,720,-,1,-,-,-,69.9,0.3,1,6.72
175,Apodi,Chapecoense AF,31,10,869,-,1,-,-,0.7,79.5,1.7,-,6.72
176,Bruno Guimaraes,Atletico PR,20,3(4),340,-,-,2,-,-,91.9,0.9,-,6.71
177,Moises,Botafogo RJ,23,4(1),371,-,-,-,-,0.6,87.7,0.4,-,6.71
178,Jhonny Lucas,Parana Clube,18,6,540,1,-,3,-,1.5,78.2,0.3,-,6.71
179,Rogerio,Sport Recife,27,8(1),659,2,-,-,-,2,73.3,1.4,-,6.71
180,Gustavo Cuellar,Flamengo,25,5(1),444,-,1,2,1,0.2,90.1,0.3,-,6.70
171,Jorge Gonzalez,Parana Clube,30,6,455,-,-,3,-,0.8,82.7,1.5,-,6.72
172,Romario Santos,Ceara,26,6(1),510,-,-,1,-,0.1,80.3,1.9,-,6.72
173,Luan,Atletico MG,27,9,635,-,1,2,-,1.2,86.1,0.8,-,6.72
174,Jefferson,Botafogo RJ,35,8,720,-,1,-,-,-,69.9,0.3,1,6.72
175,Apodi,Chapecoense AF,31,10,869,-,1,-,-,0.7,79.5,1.7,-,6.72
176,Bruno Guimaraes,Atletico PR,20,3(4),340,-,-,2,-,-,91.9,0.9,-,6.71
177,Moises,Botafogo RJ,23,4(1),371,-,-,-,-,0.6,87.7,0.4,-,6.71
178,Jhonny Lucas,Parana Clube,18,6,540,1,-,3,-,1.5,78.2,0.3,-,6.71
179,Rogerio,Sport Recife,27,8(1),659,2,-,-,-,2,73.3,1.4,-,6.71
180,Gustavo Cuellar,Flamengo,25,5(1),444,-,1,2,1,0.2,90.1,0.3,-,6.70
181,Lucas Fernandes,Vitoria,24,2(5),229,1,-,-,-,1.1,73.9,0.6,-,6.70
182,Lucho Gonzalez,Atletico PR,37,8,617,-,-,2,-,0.8,85.9,0.5,-,6.70
183,Camacho,Atletico PR,28,9,778,-,-,-,1,0.9,90.6,0.6,-,6.70
184,Renatinho,Botafogo RJ,26,4(1),318,-,-,1,-,1.4,80,0.4,-,6.70
185,Gabriel,Atletico MG,23,9,776,-,-,-,-,0.4,92.2,2.4,-,6.70
186,Rafael Carioca,Ceara,25,4(1),393,-,-,3,-,1,88,1,-,6.69
187,Mantuan,Corinthians,20,7(1),711,-,-,1,-,0.3,89.1,0.8,-,6.69
188,Jose Welison,Vitoria,23,5(1),463,-,-,1,-,1,78.6,1.8,-,6.67
189,Bruno Silva,Cruzeiro,31,3(4),286,1,1,2,-,1.3,86.3,1.9,-,6.67
190,Neto Moura,Sport Recife,21,6(2),441,-,-,1,-,0.8,81.1,0.5,-,6.67
181,Lucas Fernandes,Vitoria,24,2(5),229,1,-,-,-,1.1,73.9,0.6,-,6.70
182,Lucho Gonzalez,Atletico PR,37,8,617,-,-,2,-,0.8,85.9,0.5,-,6.70
183,Camacho,Atletico PR,28,9,778,-,-,-,1,0.9,90.6,0.6,-,6.70
184,Renatinho,Botafogo RJ,26,4(1),318,-,-,1,-,1.4,80,0.4,-,6.70
185,Gabriel,Atletico MG,23,9,776,-,-,-,-,0.4,92.2,2.4,-,6.70
186,Rafael Carioca,Ceara,25,4(1),393,-,-,3,-,1,88,1,-,6.69
187,Mantuan,Corinthians,20,7(1),711,-,-,1,-,0.3,89.1,0.8,-,6.69
188,Jose Welison,Vitoria,23,5(1),463,-,-,1,-,1,78.6,1.8,-,6.67
189,Bruno Silva,Cruzeiro,31,3(4),286,1,1,2,-,1.3,86.3,1.9,-,6.67
190,Neto Moura,Sport Recife,21,6(2),441,-,-,1,-,0.8,81.1,0.5,-,6.67
191,Wagner,Vasco da Gama,33,7(1),578,2,-,5,-,1.8,84.5,0.4,1,6.67
192,Elicarlos,Chapecoense AF,32,7,630,-,-,1,-,0.7,82,2,-,6.66
193,Ze Ivaldo,Atletico PR,21,9(1),760,-,-,3,-,0.3,88.1,1.5,-,6.66
194,Douglas,Chapecoense AF,28,10,900,-,-,1,-,0.5,85.8,1.9,-,6.65
195,Lucas Lima,Palmeiras,27,7(2),546,-,1,2,-,0.6,84.6,0.2,1,6.64
196,Jailson,Gremio,22,4(2),417,-,-,1,-,-,89,0.5,-,6.64
197,Luan,America MG,29,6(1),409,-,2,2,1,1,72.1,1.3,1,6.64
198,Rafael Sobis,Cruzeiro,32,7(1),516,1,1,1,-,2.1,85,0.4,-,6.63
199,Victor,Atletico MG,35,9,810,-,-,-,-,-,63.2,0.8,1,6.63
200,Rossi,Internacional,25,3(4),227,1,1,-,-,0.9,63.4,1.9,-,6.62
191,Wagner,Vasco da Gama,33,7(1),578,2,-,5,-,1.8,84.5,0.4,1,6.67
192,Elicarlos,Chapecoense AF,32,7,630,-,-,1,-,0.7,82,2,-,6.66
193,Ze Ivaldo,Atletico PR,21,9(1),760,-,-,3,-,0.3,88.1,1.5,-,6.66
194,Douglas,Chapecoense AF,28,10,900,-,-,1,-,0.5,85.8,1.9,-,6.65
195,Lucas Lima,Palmeiras,27,7(2),546,-,1,2,-,0.6,84.6,0.2,1,6.64
196,Jailson,Gremio,22,4(2),417,-,-,1,-,-,89,0.5,-,6.64
197,Luan,America MG,29,6(1),409,-,2,2,1,1,72.1,1.3,1,6.64
198,Rafael Sobis,Cruzeiro,32,7(1),516,1,1,1,-,2.1,85,0.4,-,6.63
199,Victor,Atletico MG,35,9,810,-,-,-,-,-,63.2,0.8,1,6.63
200,Rossi,Internacional,25,3(4),227,1,1,-,-,0.9,63.4,1.9,-,6.62
201,Alemao,Parana Clube,28,5(1),454,-,-,-,-,1.5,80.3,0.7,-,6.62
202,Regis,Bahia,25,2(7),318,1,-,1,-,0.8,77.2,0.2,-,6.62
203,Pablo,Atletico PR,25,10,875,3,-,2,-,2.1,85.2,1.7,-,6.62
204,Leandro Damiao,Internacional,28,7(1),609,1,-,3,-,3.1,62.6,3.4,-,6.62
205,Kanu,Vitoria,34,9,810,-,-,5,-,0.4,83.5,3.4,-,6.62
206,Everton Felipe,Sport Recife,20,1(4),151,1,-,-,-,1.2,77.5,-,-,6.62
207,Nicolas Lopez,Internacional,24,1(7),241,3,-,1,-,1.5,76.4,-,-,6.61
208,Jori,America MG,22,6,540,-,-,-,-,-,51.1,0.7,-,6.61
209,Leandro Vilela,Parana Clube,22,5(1),387,-,-,2,-,0.7,76.8,0.7,-,6.61
210,Marcio Araujo,Chapecoense AF,33,9,708,-,-,1,-,0.2,83.7,0.7,-,6.60
201,Alemao,Parana Clube,28,5(1),454,-,-,-,-,1.5,80.3,0.7,-,6.62
202,Regis,Bahia,25,2(7),318,1,-,1,-,0.8,77.2,0.2,-,6.62
203,Pablo,Atletico PR,25,10,875,3,-,2,-,2.1,85.2,1.7,-,6.62
204,Leandro Damiao,Internacional,28,7(1),609,1,-,3,-,3.1,62.6,3.4,-,6.62
205,Kanu,Vitoria,34,9,810,-,-,5,-,0.4,83.5,3.4,-,6.62
206,Everton Felipe,Sport Recife,20,1(4),151,1,-,-,-,1.2,77.5,-,-,6.62
207,Nicolas Lopez,Internacional,24,1(7),241,3,-,1,-,1.5,76.4,-,-,6.61
208,Jori,America MG,22,6,540,-,-,-,-,-,51.1,0.7,-,6.61
209,Leandro Vilela,Parana Clube,22,5(1),387,-,-,2,-,0.7,76.8,0.7,-,6.61
210,Marcio Araujo,Chapecoense AF,33,9,708,-,-,1,-,0.2,83.7,0.7,-,6.60
211,Leandro Desabato,Vasco da Gama,28,8,715,-,1,-,1,0.3,90.9,0.4,-,6.60
212,Raniel,Cruzeiro,21,2(6),338,1,1,-,-,1.6,81,0.6,-,6.60
213,Yago Rocha,Vitoria,23,4(2),342,1,-,3,-,1.3,76.6,0.3,-,6.60
214,Vanderlei,Santos FC,34,9,810,-,-,-,-,-,70.1,0.2,-,6.59
215,Thiago Santos,Palmeiras,28,2(5),252,-,-,1,-,0.1,82.4,1.7,-,6.59
216,David Braz,Santos FC,31,8,720,-,-,2,-,0.8,88.1,1.9,-,6.58
217,Rodrigo Aguirre,Botafogo RJ,23,2(4),260,-,-,1,-,1,59.1,2.8,-,6.58
218,Wellington Paulista,Chapecoense AF,34,8(1),694,3,2,5,-,2.3,66.9,2.4,-,6.58
219,Caique Santos,Vitoria,20,5,450,-,-,1,-,-,47.7,-,-,6.57
220,Denilson,Vitoria,22,5(1),463,2,-,-,-,1.5,71.6,1.5,-,6.57
211,Leandro Desabato,Vasco da Gama,28,8,715,-,1,-,1,0.3,90.9,0.4,-,6.60
212,Raniel,Cruzeiro,21,2(6),338,1,1,-,-,1.6,81,0.6,-,6.60
213,Yago Rocha,Vitoria,23,4(2),342,1,-,3,-,1.3,76.6,0.3,-,6.60
214,Vanderlei,Santos FC,34,9,810,-,-,-,-,-,70.1,0.2,-,6.59
215,Thiago Santos,Palmeiras,28,2(5),252,-,-,1,-,0.1,82.4,1.7,-,6.59
216,David Braz,Santos FC,31,8,720,-,-,2,-,0.8,88.1,1.9,-,6.58
217,Rodrigo Aguirre,Botafogo RJ,23,2(4),260,-,-,1,-,1,59.1,2.8,-,6.58
218,Wellington Paulista,Chapecoense AF,34,8(1),694,3,2,5,-,2.3,66.9,2.4,-,6.58
219,Caique Santos,Vitoria,20,5,450,-,-,1,-,-,47.7,-,-,6.57
220,Denilson,Vitoria,22,5(1),463,2,-,-,-,1.5,71.6,1.5,-,6.57
221,Pablo Dyego,Fluminense,24,1(5),209,2,-,-,-,1.3,77.2,0.3,-,6.57
222,Cicero,Gremio,33,3(3),303,-,-,-,-,1,86,2.2,-,6.57
223,Rayan,Parana Clube,28,5,406,-,-,1,-,0.8,81.9,2.4,-,6.56
224,Hyoran,Palmeiras,25,1(5),224,1,3,1,-,0.8,73.8,0.2,-,6.56
225,Pottker,Internacional,24,9,692,-,-,1,1,1.6,83.3,1.6,-,6.55
226,Mansur,Parana Clube,25,6,518,-,-,-,1,1.5,82.6,1.8,-,6.55
227,Ricardinho,Ceara,32,7,515,-,-,-,-,0.6,84.9,0.6,-,6.55
228,Andre Lima,Vitoria,33,4(2),354,1,-,2,-,0.8,72.9,1.8,-,6.55
229,Roger,Corinthians,33,4(3),419,2,-,1,-,1.1,81.4,2.6,-,6.55
230,Liziero,Sao Paulo,20,3(5),265,-,-,2,-,0.6,85.2,0.5,-,6.54
221,Pablo Dyego,Fluminense,24,1(5),209,2,-,-,-,1.3,77.2,0.3,-,6.57
222,Cicero,Gremio,33,3(3),303,-,-,-,-,1,86,2.2,-,6.57
223,Rayan,Parana Clube,28,5,406,-,-,1,-,0.8,81.9,2.4,-,6.56
224,Hyoran,Palmeiras,25,1(5),224,1,3,1,-,0.8,73.8,0.2,-,6.56
225,Pottker,Internacional,24,9,692,-,-,1,1,1.6,83.3,1.6,-,6.55
226,Mansur,Parana Clube,25,6,518,-,-,-,1,1.5,82.6,1.8,-,6.55
227,Ricardinho,Ceara,32,7,515,-,-,-,-,0.6,84.9,0.6,-,6.55
228,Andre Lima,Vitoria,33,4(2),354,1,-,2,-,0.8,72.9,1.8,-,6.55
229,Roger,Corinthians,33,4(3),419,2,-,1,-,1.1,81.4,2.6,-,6.55
230,Liziero,Sao Paulo,20,3(5),265,-,-,2,-,0.6,85.2,0.5,-,6.54
231,Rodrigo Andrade,Vitoria,21,4(1),312,-,-,3,-,0.4,85.5,1,-,6.54
232,Marcos Junior,Fluminense,25,7(1),406,2,1,-,-,1,79.3,0.4,-,6.54
233,Leo Cittadini,Santos FC,24,3(4),267,-,1,1,-,0.6,88.4,0.7,-,6.54
234,Vinicius,Bahia,27,8(1),609,-,-,-,-,2,83.8,1,-,6.53
235,Thiago Neves,Cruzeiro,33,7,571,-,-,1,-,2.3,82.8,1,-,6.53
236,Moises,Palmeiras,30,4(3),293,-,-,2,-,0.1,82.9,1.1,-,6.53
237,Robinho,Fluminense,22,0(5),174,-,1,-,-,1.2,78.7,-,-,6.52
238,Andre,Gremio,27,10,795,2,-,2,-,1.7,73.2,1.2,-,6.51
239,Marcelo Grohe,Gremio,31,9,810,-,-,-,-,-,60,-,-,6.51
240,Maycon,Corinthians,20,6(2),584,-,-,3,-,0.8,88.6,0.3,-,6.51
231,Rodrigo Andrade,Vitoria,21,4(1),312,-,-,3,-,0.4,85.5,1,-,6.54
